2025-08-06,Hyderabad,Laptop,4,35671
2025-01-16,Chennai,Monitor,1,19192
2025-12-04,Delhi,Tablet,4,32045
2025-02-10,Chennai,Monitor,3,35221
2025-08-03,Mumbai,Tablet,1,9074
2025-11-04,Delhi,Tablet,7,42810
2025-02-02,Delhi,Phone,1,2371
2025-12-16,Delhi,Monitor,5,26568
2025-06-20,Bangalore,Laptop,9,33792
2025-05-14,Bangalore,Tablet,1,539
2025-06-13,Mumbai,Monitor,3,37505
2025-08-28,Hyderabad,Monitor,6,37601
2025-02-21,Bangalore,Laptop,4,1802
2025-05-13,Chennai,Keyboard,3,8632
2025-10-22,Bangalore,Phone,9,33312
2025-12-11,Delhi,Laptop,10,40954
2025-09-11,Hyderabad,Laptop,5,8025
2025-01-22,Bangalore,Phone,4,21907
2025-01-15,Mumbai,Laptop,4,12486
2025-07-20,Hyderabad,Tablet,9,13710
2025-03-30,Delhi,Monitor,2,41663
2025-12-04,Mumbai,Tablet,8,8558
2025-07-10,Chennai,Tablet,2,10120
2025-07-11,Delhi,Laptop,2,2669
2025-04-19,Hyderabad,Keyboard,1,45470
2025-11-23,Delhi,Keyboard,5,15752
2025-03-13,Hyderabad,Phone,3,32711
2025-06-04,Hyderabad,Tablet,5,22738
2025-07-08,Chennai,Keyboard,7,4274
2025-01-04,Chennai,Monitor,7,17254
2025-02-28,Delhi,Keyboard,9,27048
2025-11-16,Bangalore,Monitor,2,9154
2025-05-14,Hyderabad,Laptop,1,27606
2025-03-30,Hyderabad,Keyboard,10,7675
2025-12-25,Bangalore,Phone,9,4570
2025-07-28,Delhi,Monitor,2,34774
2025-06-26,Bangalore,Laptop,8,5414
2025-11-16,Chennai,Tablet,7,18211
2025-04-16,Delhi,Tablet,1,14732
2025-09-12,Chennai,Laptop,8,4336
2025-02-04,Mumbai,Phone,2,16525
2025-07-18,Hyderabad,Keyboard,7,44732
2025-12-27,Chennai,Phone,8,49462
2025-05-27,Chennai,Tablet,6,34023
2025-05-11,Delhi,Keyboard,1,35802
2025-05-30,Delhi,Tablet,6,34588
2025-01-06,Mumbai,Laptop,2,46850
2025-08-03,Mumbai,Keyboard,10,47954
2025-08-12,Delhi,Keyboard,3,48994
2025-02-07,Mumbai,Phone,3,46230
2025-10-25,Mumbai,Phone,5,42690
2025-08-14,Delhi,Keyboard,4,7832
2025-05-24,Delhi,Laptop,9,26285
2025-05-29,Chennai,Tablet,2,25950
2025-11-12,Chennai,Phone,3,7916
2025-07-04,Delhi,Laptop,8,43047
2025-03-25,Bangalore,Phone,3,11020
2025-08-23,Bangalore,Laptop,1,37721
2025-12-06,Chennai,Monitor,9,15297
2025-11-02,Mumbai,Tablet,3,5510
2025-11-24,Bangalore,Phone,5,46388
2025-02-27,Mumbai,Keyboard,9,3015
2025-12-08,Hyderabad,Tablet,1,35344
2025-10-04,Chennai,Laptop,9,34556
2025-12-21,Hyderabad,Tablet,10,41156
2025-01-15,Delhi,Keyboard,4,9425
2025-09-20,Bangalore,Keyboard,9,47006
2025-06-11,Chennai,Keyboard,2,47286
2025-07-30,Mumbai,Phone,4,27219
2025-07-05,Mumbai,Monitor,6,20138
2025-09-30,Mumbai,Tablet,4,28391
2025-02-07,Chennai,Phone,6,27723
2025-09-27,Hyderabad,Tablet,4,43511
2025-11-09,Chennai,Laptop,4,19421
2025-08-13,Chennai,Phone,9,21244
2025-05-26,Bangalore,Phone,9,48551
2025-04-17,Delhi,Phone,9,24036
2025-08-05,Bangalore,Keyboard,5,23503
2025-03-12,Bangalore,Monitor,8,22919
2025-09-30,Mumbai,Monitor,4,21361
2025-05-08,Delhi,Keyboard,3,35684
2025-08-11,Chennai,Laptop,2,23975
2025-11-30,Hyderabad,Tablet,7,8922
2025-01-01,Mumbai,Phone,4,30522
2025-03-23,Delhi,Keyboard,1,8080
2025-06-03,Hyderabad,Monitor,2,32101
2025-06-22,Chennai,Laptop,3,10773
2025-02-06,Hyderabad,Laptop,1,41755
2025-09-25,Hyderabad,Monitor,7,43585
2025-02-13,Delhi,Phone,8,4042
2025-04-24,Delhi,Tablet,4,49235
2025-11-14,Chennai,Tablet,10,13497
2025-04-19,Delhi,Laptop,4,32444
2025-08-10,Chennai,Laptop,4,3298
2025-08-06,Hyderabad,Laptop,9,20106
2025-11-18,Hyderabad,Laptop,1,25451
2025-02-05,Mumbai,Laptop,6,19131
2025-11-25,Bangalore,Tablet,4,1256
2025-01-22,Chennai,Monitor,5,39611
2025-05-12,Mumbai,Tablet,3,31862
2025-09-01,Bangalore,Monitor,3,47809
2025-11-15,Chennai,Tablet,7,11998
2025-05-27,Mumbai,Monitor,10,46216
2025-03-10,Bangalore,Laptop,1,36845
2025-10-22,Hyderabad,Tablet,10,48198
2025-10-30,Mumbai,Phone,9,42964
2025-06-05,Mumbai,Keyboard,5,13532
2025-07-08,Delhi,Keyboard,3,44424
2025-02-26,Delhi,Laptop,8,25087
2025-03-07,Bangalore,Phone,6,24109
2025-09-02,Bangalore,Laptop,10,40543
2025-10-08,Hyderabad,Monitor,6,21976
2025-02-20,Hyderabad,Tablet,7,22788
2025-03-18,Delhi,Laptop,10,43608
2025-10-15,Delhi,Monitor,7,32635
2025-05-02,Delhi,Laptop,1,13978
2025-07-08,Hyderabad,Monitor,10,8825
2025-07-27,Chennai,Tablet,8,6853
2025-02-10,Bangalore,Tablet,10,14138
2025-05-04,Bangalore,Monitor,9,12169
2025-09-08,Delhi,Phone,10,27197
2025-11-03,Delhi,Laptop,10,46224
2025-12-22,Hyderabad,Keyboard,3,45037
2025-02-09,Delhi,Keyboard,3,31146
2025-03-22,Hyderabad,Phone,7,43391
2025-01-19,Hyderabad,Phone,4,27022
2025-07-11,Mumbai,Tablet,7,45540
2025-03-11,Bangalore,Monitor,2,7454
2025-05-05,Mumbai,Keyboard,2,4112
2025-02-03,Chennai,Keyboard,3,2243
2025-05-15,Hyderabad,Tablet,2,48757
2025-10-10,Delhi,Phone,3,35046
2025-11-01,Bangalore,Keyboard,8,3392
2025-01-15,Hyderabad,Laptop,3,38812
2025-10-08,Bangalore,Laptop,2,7343
2025-03-14,Mumbai,Laptop,6,880
2025-10-09,Chennai,Monitor,6,28294
2025-03-27,Mumbai,Phone,3,48108
2025-01-08,Chennai,Monitor,2,12557
